index,date,year,manner_of_death,armed,age,gender,race,city,state,state_ID,signs_of_mental_illness,threat_level,flee,flee_encoded,body_camera
2504,2017-07-18,2017,0,1,32,1,5,Clay,AL,1,True,attack,Not fleeing,0,False
2505,2017-07-18,2017,0,1,70,1,5,Springfield,OR,37,True,other,Not fleeing,0,False
2507,2017-07-19,2017,0,1,24,1,5,Fair Oaks,CA,4,False,attack,Not fleeing,0,False
2508,2017-07-19,2017,0,1,24,1,2,Santa Fe,NM,32,True,other,Not fleeing,0,True
2509,2017-07-19,2017,0,0,38,1,4,Saginaw,MI,22,False,attack,Not fleeing,0,False
2510,2017-07-20,2017,0,1,52,1,5,Neosho,MO,24,False,attack,Not fleeing,0,False
2511,2017-07-20,2017,0,1,27,1,1,St. Louis,MO,24,False,attack,Car,1,False
2512,2017-07-21,2017,0,1,22,1,2,Santa Ana,CA,4,False,other,Not fleeing,0,False
2513,2017-07-21,2017,0,1,42,1,2,Mission,TX,43,False,attack,Foot,1,False
2515,2017-07-23,2017,0,1,49,1,5,Spencer,MA,19,False,attack,Car,1,False
2516,2017-07-23,2017,0,1,59,1,5,Eau Claire,WI,48,True,attack,Not fleeing,0,False
2517,2017-07-23,2017,0,1,41,1,2,Southaven,MS,25,False,attack,Not fleeing,0,False
2518,2017-07-23,2017,0,1,34,1,5,Chico,CA,4,False,attack,Not fleeing,0,True
2519,2017-07-24,2017,0,1,31,1,5,St. Louis,MO,24,True,attack,Car,1,False
2520,2017-07-25,2017,0,1,23,1,5,Richmond,VA,45,True,other,Foot,1,False
2521,2017-07-25,2017,0,1,28,1,5,Jacksonville,FL,9,False,attack,Car,1,False
2522,2017-07-25,2017,0,1,33,1,2,Avondale,AZ,3,True,attack,Not fleeing,0,False
2523,2017-07-25,2017,0,1,16,1,1,Marion,AR,2,False,attack,Not fleeing,0,False
2524,2017-07-26,2017,0,1,35,1,5,Phoenix,AZ,3,False,attack,Other,1,False
2525,2017-07-26,2017,0,1,26,1,5,San Antonio,TX,43,False,attack,Not fleeing,0,False
2526,2017-07-26,2017,0,1,62,0,5,Vero Beach,FL,9,True,attack,Not fleeing,0,False
2527,2017-07-26,2017,0,0,25,1,1,Dayton,OH,35,False,attack,Car,1,False
2528,2017-07-27,2017,0,1,25,1,2,Avenal,CA,4,False,attack,Not fleeing,0,False
2529,2017-07-27,2017,0,1,31,1,5,Wenatchee,WA,47,False,other,Not fleeing,0,False
2530,2017-07-27,2017,0,1,35,1,2,Chowchilla,CA,4,False,attack,Not fleeing,0,False
2531,2017-07-27,2017,0,1,46,1,5,Los Angeles,CA,4,False,other,Not fleeing,0,False
2532,2017-07-27,2017,0,1,39,1,1,Homer,LA,18,False,attack,Car,1,False
2533,2017-07-27,2017,0,1,26,1,5,Grand Terrace,CA,4,False,attack,Not fleeing,0,False
2534,2017-07-28,2017,0,0,37,1,2,Albuquerque,NM,32,False,attack,Car,1,False
2535,2017-07-28,2017,0,1,32,1,5,Glenville,NY,34,True,other,Not fleeing,0,False
2536,2017-07-28,2017,0,1,31,1,1,Kansas City,MO,24,False,attack,Not fleeing,0,False
2537,2017-07-29,2017,0,1,48,1,5,Melba,ID,13,False,attack,Car,1,False
2538,2017-07-29,2017,0,1,29,1,1,Norco,CA,4,False,attack,Car,1,False
2539,2017-07-31,2017,0,1,32,1,1,Brooklyn,NY,34,True,attack,Not fleeing,0,False
2540,2017-07-31,2017,0,0,28,1,1,Oshkosh,WI,48,False,attack,Car,1,True
