index,date,year,manner_of_death,armed,age,gender,race,city,state,state_ID,signs_of_mental_illness,threat_level,flee,flee_encoded,body_camera,longitude,latitude
121,2015-02-17,2015,0,1,30,1,5,Tewksbury,MA,19,False,attack,Foot,1,False,-71.284,42.614
122,2015-02-17,2015,0,0,50,1,2,Del Rio,TX,43,False,other,Not fleeing,0,False,-100.831,29.369
123,2015-02-18,2015,0,1,20,0,1,Charlotte,NC,27,True,other,Not fleeing,0,False,-80.819,35.25
124,2015-02-20,2015,0,0,31,1,2,Euless,TX,43,False,other,Not fleeing,0,False,-97.1,32.874
125,2015-02-20,2015,0,1,38,1,1,Homewood,AL,1,False,attack,Not fleeing,0,False,-86.824,33.482
126,2015-02-20,2015,0,1,77,1,1,Birmingham,AL,1,True,attack,Not fleeing,0,False,-86.724,33.564
127,2015-02-20,2015,0,1,37,1,2,Houston,TX,43,False,attack,Car,1,False,-95.401,29.983
128,2015-02-21,2015,0,1,41,1,5,Ruidoso,NM,32,False,attack,Not fleeing,0,False,-105.665,33.448
129,2015-02-21,2015,0,1,51,1,5,Indianapolis,IN,15,False,attack,Not fleeing,0,False,-85.992,39.793
130,2015-02-22,2015,0,1,50,1,5,Palm Bay,FL,9,False,attack,Not fleeing,0,False,-80.645,27.99
131,2015-02-23,2015,0,1,47,1,5,Denham Springs,LA,18,True,attack,Not fleeing,0,False,-90.956,30.455
132,2015-02-23,2015,0,1,37,1,5,Powder Springs,GA,10,False,other,Not fleeing,0,False,-84.695,33.911
133,2015-02-23,2015,0,1,41,1,5,Clarkesville,GA,10,False,attack,Foot,1,False,-83.598,34.631
134,2015-02-23,2015,0,1,16,1,1,Millbrook,AL,1,False,attack,Not fleeing,0,False,-86.362,32.53
135,2015-02-23,2015,1,1,42,1,5,Allentown,PA,38,False,attack,Car,1,False,-75.433,40.632
136,2015-02-23,2015,1,0,39,1,5,Omaha,NE,29,False,other,Not fleeing,0,False,-95.933,41.244
137,2015-02-24,2015,1,1,30,1,5,Green Bay,WI,48,True,attack,Not fleeing,0,False,-88.058,44.527
138,2015-02-25,2015,0,0,27,1,1,Oklahoma City,OK,36,False,other,Car,1,False,-97.552,35.497
139,2015-02-25,2015,0,1,43,1,5,Las Vegas,NV,33,True,attack,Not fleeing,0,False,-115.055,36.241
140,2015-02-26,2015,0,1,42,1,2,Lakeland,FL,9,False,attack,Foot,1,False,-81.95,28.104
141,2015-02-26,2015,0,1,21,1,2,San Francisco,CA,4,False,other,Not fleeing,0,False,-122.414,37.751
142,2015-02-26,2015,0,0,49,1,5,Gulfport,MS,25,False,other,Not fleeing,0,False,-89.092,30.425
143,2015-02-26,2015,0,1,34,0,5,Sylvester,GA,10,False,attack,Car,1,False,-83.902,31.55
144,2015-02-26,2015,1,0,31,1,5,Terre Haute,IN,15,False,other,Not fleeing,0,False,-87.379,39.463
145,2015-02-27,2015,0,0,27,1,2,Santa Ana,CA,4,False,undetermined,Not fleeing,0,False,-117.879,33.747
146,2015-02-28,2015,0,1,24,1,5,Pelzer,SC,40,False,attack,Not fleeing,0,False,-82.408,34.633
147,2015-02-28,2015,0,0,34,1,1,St Louis,MO,24,False,other,Car,1,False,-90.232,38.598
148,2015-02-28,2015,0,1,28,0,2,Tucson,AZ,3,False,other,Not fleeing,0,False,-110.99,32.23
149,2015-02-28,2015,0,1,28,1,1,Columbia,MO,24,False,attack,Car,1,False,-92.294,38.946
150,2015-02-28,2015,0,1,40,1,1,Tarboro,NC,27,True,attack,Car,1,False,-77.548,35.918
151,2015-02-28,2015,0,1,37,0,5,La Paz County,AZ,3,False,attack,Car,1,False,-114.451,33.619
152,2015-02-28,2015,1,0,17,1,5,Roxand Township,MI,22,False,attack,Not fleeing,0,True,-84.837,42.756
153,2015-03-01,2015,0,1,35,1,0,Houston,TX,43,False,attack,Not fleeing,0,False,-95.622,29.704
154,2015-03-01,2015,0,1,49,1,5,Barton,MS,25,False,attack,Not fleeing,0,False,-88.604,30.789
155,2015-03-01,2015,1,0,43,1,1,Los Angeles,CA,4,True,attack,Not fleeing,0,True,-118.245,34.043
156,2015-03-02,2015,0,1,20,1,1,Joilet,IL,14,False,other,Foot,1,False,-88.074,41.522
157,2015-03-03,2015,0,1,25,1,1,Salisbury,MD,20,False,attack,Not fleeing,0,False,-75.609,38.38
158,2015-03-03,2015,0,1,25,1,5,Tempe,AZ,3,False,attack,Not fleeing,0,False,-111.931,33.44
159,2015-03-04,2015,0,0,26,1,5,Deltona,FL,9,False,other,Not fleeing,0,False,-81.254,28.887
160,2015-03-04,2015,0,1,28,1,0,Stockton,CA,4,False,attack,Not fleeing,0,False,-121.286,37.948
161,2015-03-05,2015,0,1,45,1,1,Milwaukee,WI,48,True,other,Not fleeing,0,False,-87.904,42.968
162,2015-03-05,2015,0,0,36,1,2,Burbank,CA,4,False,other,Car,1,False,-118.345,34.151
163,2015-03-05,2015,0,1,34,1,5,Lincoln,NE,29,False,attack,Not fleeing,0,False,-96.682,40.875
164,2015-03-06,2015,0,0,19,1,1,Madison,WI,48,False,attack,Foot,1,False,-89.365,43.083
165,2015-03-06,2015,0,0,37,1,1,Aurora,CO,5,False,undetermined,Foot,1,False,-104.916,39.735
166,2015-03-06,2015,0,0,48,1,1,Putnam Hall,FL,9,False,other,Not fleeing,0,False,-81.959,29.743
167,2015-03-07,2015,0,1,29,1,5,Phoenix,AZ,3,False,attack,Not fleeing,0,False,-112.043,33.469
168,2015-03-08,2015,0,1,43,0,1,Anaheim,CA,4,True,other,Not fleeing,0,True,-117.94,33.819
169,2015-03-08,2015,0,1,40,1,2,Oklahoma City,OK,36,False,attack,Not fleeing,0,False,-97.583,35.426
170,2015-03-08,2015,0,0,35,1,5,Claymont,DE,8,False,attack,Car,1,False,-75.456,39.818
